channel,in_weight,out_weight,unique_inbound_channels,unique_outbound_channels,unique_outbound_bots
a123kyat,60,193,6,20,0
a3actadditacto,1,4,1,4,0
abelsmusiclib,1,0,1,0,1
abhinav_jain35,0,1,0,1,0
abmnthr,10,5,2,1,0
abusat_760,3,6,1,4,0
acefairgamesunion,0,3,0,2,1
acessovipexclussivo,0,1,0,1,0
achadinhoadaeli_0,0,0,0,0,1
achadosdashopee10,2,2,1,1,2
actiondramammsub,0,1,0,1,2
afinsdanet,0,0,0,0,1
aho_film,328,332,1,3,0
ahwazmovie,1,3,1,3,8
ai_deeplearning,2,2,1,1,0
akmcollection123,379,354,5,15,1
alanzaya66c,72,240,4,15,1
alexeeeeey,1,1,1,1,0
alijahon_savdo_markazi,94,47,2,1,0
alirezasadeghiyann,5,6,1,2,1
all_japanese_drama_hindi,2,23,2,7,1
allmoviesmmsub112,349,137,1,6,0
allwishme,0,1,0,1,0
alphadl,0,2,0,1,1
alsbaahiq,2,2,1,1,0
alscienceupdates,62,31,2,1,1
amen_modeling,1,1,1,1,0
amllinkcolletion,19,272,5,11,2
amorkseries,4,520,2,17,0
andoridgames66,0,1,0,1,0
android1818,0,14,0,1,0
ani_flix,6,19,3,13,0
anidlws,0,0,0,0,1
animationtvshows,3,3,1,1,0
anime4u_byaoi,46,14,4,1,2
anime_in_hindi_pro,0,0,0,0,1
anime_shojo,0,3,0,2,0
anime_tron,12,14,4,6,0
anime_world_territory,0,1,0,1,1
animeatk,0,97,0,4,0
animebyreadingmanhwa26,0,11,0,9,0
animedekhocom,0,0,0,0,2
animegraphics2,0,11,0,1,0
animemmuser,3,178,2,10,0
animemmuser2,123,166,6,6,0
animemmuser3,27,103,4,5,0
animemmuserlinkcollection,10,170,5,5,0
animemyanmarlolipop,2,341,1,10,1
animes_del_mund0,3,6,1,3,0
animes_plus_latino,0,1,0,1,0
animestertv,0,0,0,0,1
animeunnamedmemory,1,1,1,1,0
animezarea,0,10,0,8,0
animezey,1,1,1,1,2
animostlk,1,1,1,1,0
animworlddl,0,12,0,6,2
animworldraw,2,8,1,4,2
aniplus,0,1,0,1,2
anne_with_an_e,0,1,0,1,0
aonechannel1414,55,11,5,1,1
apkeditorpr00,0,1,0,1,0
appduny,2,7,1,5,8
arashfouladvand,22,11,2,1,0
aryan_production,8,7,2,2,0
ashchannel030,0,3,0,2,0
ashchannel034,0,1,0,1,0
ashkoreaorg15,0,1,0,1,0
ashmovie001,5,2,1,1,0
asianamor,15,516,8,17,0
