channel,unique_outgoing_targets,in_weight,out_weight,unique_inbound_channels,unique_outbound_channels,unique_outbound_bots
a9e01,41,2,280,2,41,0
ashlakorn001,74,7,543,1,74,0
ashorgkp5,36,1,198,1,36,0
blcollection85,42,0,142,0,42,0
blsky2010,30,1,338,1,30,0
blskychannel112,41,1,463,1,41,0
blskymm2018,53,98,425,2,53,0
botsbus,35,0,1,0,1,31
c_drama_series2,26,16,385,7,26,0
c_drama_series5,27,168,349,10,27,0
channel_shine1,28,116,353,10,28,0
china_series_mm,35,88,349,8,35,0
classictoon,39,0,37,0,37,0
dgakyi,28,158,538,17,28,0
drama_series_kay,26,247,342,9,26,0
drama_series_love,29,140,326,10,29,0
dramaseriesfan,32,181,328,7,32,0
dramaseriesfan5,23,170,264,10,23,0
headoverheels_mmsub,23,134,354,6,18,5
herotoon00,51,0,49,0,6,45
hwk182,40,2,111,2,37,3
korean_channel_love,28,160,368,9,28,0
lovedramaworld,29,138,366,10,29,0
lwiinpyin,29,361,708,18,29,0
moonchannel03,25,147,257,3,25,0
orangetokusatsu,26,1,110,1,26,0
serieslegacy,53,0,4,0,4,49
